"Date","Impressions",""
"8/5/2023","16",""
"8/6/2023","2",""
"8/7/2023","2",""
"8/8/2023","2",""
"8/9/2023","2",""
"8/10/2023","1",""
"8/11/2023","0",""
"8/12/2023","0",""
"8/13/2023","0",""
"8/14/2023","2",""
"8/15/2023","442",""
"8/16/2023","78",""
"8/17/2023","21",""
"8/18/2023","142",""
"8/19/2023","53",""
"8/20/2023","38",""
"8/21/2023","18",""
"8/22/2023","33",""
"8/23/2023","20",""
"8/24/2023","13",""
"8/25/2023","26",""
"8/26/2023","4142",""
"8/27/2023","10722",""
"8/28/2023","3647",""
"8/29/2023","2613",""
"8/30/2023","4261",""
"8/31/2023","2548",""
"9/1/2023","4311",""
"9/2/2023","1751",""
"9/3/2023","1277",""
"9/4/2023","1068",""
"9/5/2023","928",""
"9/6/2023","7165",""
"9/7/2023","4498",""
"9/8/2023","9245",""
"9/9/2023","2234",""
"9/10/2023","1697",""
"9/11/2023","1686",""
"9/12/2023","2064",""
"9/13/2023","3499",""
"9/14/2023","2895",""
"9/15/2023","2280",""
"9/16/2023","1613",""
"9/17/2023","3541",""
"9/18/2023","3817",""
"9/19/2023","1901",""
"9/20/2023","10164",""
"9/21/2023","3045",""
"9/22/2023","1889",""
"9/23/2023","2195",""
"9/24/2023","3176",""
"9/25/2023","2810",""
"9/26/2023","1711",""
"9/27/2023","2683",""
"9/28/2023","4063",""
"9/29/2023","2608",""
"9/30/2023","5406",""
"10/1/2023","2283",""
"10/2/2023","3904",""
"10/3/2023","2771",""
"10/4/2023","1856",""
"10/5/2023","1518",""
"10/6/2023","6863",""
"10/7/2023","2211",""
"10/8/2023","2310",""
"10/9/2023","3384",""
"10/10/2023","2003",""
"10/11/2023","6624",""
"10/12/2023","5683",""
"10/13/2023","3059",""
"10/14/2023","3200",""
"10/15/2023","2005",""
"10/16/2023","12690",""
"10/17/2023","16552",""
"10/18/2023","6673",""
"10/19/2023","9460",""
"10/20/2023","12113",""
"10/21/2023","6305",""
"10/22/2023","2837",""
"10/23/2023","4332",""
"10/24/2023","5095",""
"10/25/2023","4458",""
"10/26/2023","6369",""
"10/27/2023","5008",""
"10/28/2023","4536",""
"10/29/2023","5945",""
"10/30/2023","9361",""
"10/31/2023","7948",""
"11/1/2023","7260",""
"11/2/2023","657",""
